clus	markerGene	padj	significant
0	LOC130653758	3.364714237601443e-134	T
0	LOC130662752	3.2173326632662537e-133	T
0	LOC130628598	9.510075253824372e-133	T
0	LOC130622514	1.983811050778734e-132	T
0	LOC130647108	3.268081654186782e-132	T
0	LOC130621826	4.2500227322559754e-132	T
0	LOC130632344	1.969868899438427e-130	T
0	LOC130655549	1.9734820409451916e-130	T
0	LOC130623397	3.896300129854785e-130	T
0	LOC130636260	7.724264318817713e-130	T
0	LOC130657546	2.3915810700485777e-129	T
0	LOC130645758	2.6019328091541e-129	T
0	LOC130613822	2.914600176423935e-129	T
0	LOC130641680	4.1905158643424864e-129	T
0	LOC130625341	1.0992940072630027e-128	T
0	LOC130645616	1.531439937015993e-128	T
0	LOC130647482	2.187928473701986e-128	T
0	LOC130613277	7.243107608285998e-128	T
0	LOC130636518	4.404788471316493e-127	T
0	LOC130636743	6.5270371964974036e-127	T
0	LOC130657178	7.884863041655622e-126	T
0	LOC130645167	1.3580984454375542e-125	T
0	LOC130656694	3.6426938547154344e-125	T
0	LOC130645588	4.905534548755518e-125	T
0	LOC130634344	4.663255066148135e-124	T
0	LOC130655957	4.861388116071081e-124	T
0	LOC130645181	6.651884238879334e-124	T
0	LOC130647637	8.673716280619414e-124	T
0	LOC130648938	2.726366812352806e-123	T
0	LOC130641649	4.113106375306436e-122	T
0	LOC130635866	8.861167183807817e-122	T
0	LOC130628721	2.020093164838059e-121	T
0	LOC130644316	2.334126108672316e-121	T
0	LOC130654624	8.691926499891691e-121	T
0	LOC130645044	1.264054611184526e-120	T
0	LOC130656672	2.8587170042491473e-120	T
0	LOC130662405	4.275937567812776e-120	T
0	LOC130614080	1.759785195629795e-119	T
0	LOC130613860	1.9670249279382317e-119	T
0	LOC130628527	7.162719279307377e-119	T
0	LOC130626208	1.8672408737790355e-118	T
0	LOC130613764	6.398533461977161e-118	T
0	LOC130654200	7.079787490323757e-118	T
0	LOC130625736	7.8144492245857805e-118	T
0	LOC130613647	1.880429793188597e-117	T
0	LOC130622226	1.9553870739159485e-117	T
0	LOC130657597	2.904544708936513e-116	T
0	LOC130612197	8.988222665435118e-116	T
0	LOC130630487	9.540025259238475e-116	T
0	LOC130636048	1.0791469399143072e-115	T
0	LOC130642127	1.7375967827554755e-115	T
0	LOC130636084	1.9540431055500647e-115	T
0	LOC130657929	6.1487308484494365e-115	T
0	LOC130628594	1.4195358031261025e-114	T
0	LOC130612360	1.861217309467092e-114	T
0	LOC130631364	3.623379644525903e-114	T
0	LOC130657652	1.3152345544557453e-113	T
0	LOC130624084	2.3627698474892543e-113	T
0	LOC130635811	3.465276264854522e-113	T
0	LOC130622189	4.526273222587183e-113	T
0	LOC130622393	1.2670354397907164e-112	T
0	LOC130624277	5.3131133071021035e-112	T
0	LOC130654114	1.6500252722263979e-111	T
0	LOC130624918	1.0618417382399898e-110	T
0	LOC130645406	1.0636730493339379e-110	T
0	LOC130647369	4.228409159498929e-110	T
0	LOC130654913	2.9280898687918053e-109	T
0	LOC130625947	4.660778216334735e-109	T
0	LOC130636757	6.299835529683357e-109	T
0	LOC130644964	8.155857002772508e-109	T
0	LOC130614849	9.999376137922176e-109	T
0	LOC130626206	1.6207383327353446e-108	T
0	LOC130648747	2.628875156658647e-108	T
0	LOC130657539	5.639353089513137e-108	T
0	LOC130654662	8.966168112646676e-108	T
0	LOC130655004	1.5891785282018277e-107	T
0	LOC130629150	4.3238807097986725e-107	T
0	LOC130653580	1.441933417285358e-106	T
0	LOC130649037	1.534173562054351e-106	T
0	LOC130630547	5.84500077768097e-106	T
0	LOC130656977	9.6441758182311e-106	T
0	LOC130647726	4.612179034835662e-105	T
0	LOC130623525	8.521387271816345e-105	T
0	LOC130649048	9.757432763159341e-105	T
0	LOC130654164	1.2049844521817877e-104	T
0	LOC130635870	1.2816820822264486e-104	T
0	LOC130625393	4.5695565718147867e-104	T
0	LOC130629254	5.4248158066475483e-104	T
0	LOC130662330	1.9699602943051201e-103	T
0	LOC130657345	2.0612247855518873e-103	T
0	LOC130614847	3.236786248140805e-103	T
0	LOC130658003	7.212795546108395e-103	T
0	LOC130629588	1.718934102116797e-102	T
0	LOC130645331	2.366550134920087e-102	T
0	LOC130645121	2.575961744243768e-102	T
0	LOC130654018	3.309327811494474e-102	T
0	LOC130636022	3.869713870845173e-102	T
0	LOC130655749	2.274518870170899e-101	T
0	LOC130623760	1.386171265976602e-100	T
0	LOC130645734	2.300809845047302e-100	T
0	LOC130647410	3.756810225472943e-100	T
0	LOC130641421	1.0632062525980977e-99	T
0	LOC130656840	1.0816802178599204e-99	T
0	LOC130622181	3.1183807918853625e-99	T
0	LOC130646284	3.5447553862300723e-99	T
0	LOC130662730	3.7251666893154515e-99	T
0	LOC130612252	4.942070211958801e-99	T
0	LOC130633606	5.789177350167549e-99	T
0	LOC130648416	9.514395118539924e-99	T
0	LOC130647374	1.026170286088311e-98	T
0	LOC130654544	1.3497555757400281e-98	T
0	LOC130644791	1.7249701098132518e-98	T
0	LOC130641040	1.949965023806368e-98	T
0	LOC130655707	6.642778150053807e-98	T
0	LOC130621426	1.3988009602373164e-97	T
0	LOC130653797	1.8424869087434636e-97	T
0	LOC130621812	2.2465118393486556e-97	T
0	LOC130629979	4.519577158731324e-97	T
0	LOC130635668	1.0047217192527773e-96	T
0	LOC130655383	1.0499852909066249e-96	T
0	LOC130645420	5.928075307431625e-96	T
0	LOC130662341	9.985674309080219e-96	T
0	LOC130640986	1.1000073900632957e-95	T
0	LOC130654306	1.4725943680680682e-95	T
0	LOC130640894	3.251131947368661e-95	T
0	LOC130648972	3.5086623346121785e-95	T
0	LOC130644344	1.3333105021482963e-94	T
0	LOC130644490	1.3494149078650364e-94	T
0	LOC130624112	1.7998461321078896e-94	T
0	LOC130613155	2.0979511217018204e-94	T
0	LOC130621987	2.2387747341680326e-94	T
0	LOC130645732	2.24020369999251e-94	T
0	LOC130614447	4.6711268041148037e-94	T
0	LOC130647126	5.483700566050221e-94	T
0	LOC130657745	9.678521501856992e-94	T
0	LOC130648931	1.7716825761162795e-93	T
0	LOC130630749	4.1486291412801605e-93	T
0	LOC130635857	7.678645202685042e-93	T
0	LOC130644409	2.0291669866407247e-92	T
0	LOC130612638	2.2517559644734922e-92	T
0	LOC130613666	2.7631983932485242e-92	T
0	LOC130654121	2.993677161018896e-92	T
0	LOC130656155	3.410136462347817e-92	T
0	LOC130623402	5.037282150294554e-92	T
0	LOC130626158	6.706930341030317e-92	T
0	LOC130621389	2.4336811447789264e-91	T
0	LOC130623371	2.506415551051315e-91	T
0	LOC130621958	5.729372938780265e-91	T
0	LOC130655720	8.453976766831196e-91	T
0	LOC130654798	1.9343727609919782e-90	T
0	LOC130656391	2.276977567539491e-90	T
0	LOC130614220	5.847064122776064e-90	T
0	LOC130628898	7.510827053149547e-90	T
0	LOC130645392	7.510827053149547e-90	T
0	LOC130623642	1.0843786994016849e-89	T
0	LOC130641253	1.4231398291260095e-89	T
0	LOC130625691	1.7601475528519886e-89	T
0	LOC130648737	2.4297273369613197e-89	T
0	LOC130648919	4.899494158772786e-89	T
0	LOC130629628	7.85732789211708e-89	T
0	LOC130647114	9.422837238369771e-89	T
0	LOC130628943	1.2362652040730485e-88	T
0	LOC130656937	1.6909042610074498e-88	T
0	LOC130623478	1.3104703064070557e-87	T
0	LOC130621175	1.4601804905064165e-87	T
0	LOC130642099	1.5715062075818422e-87	T
0	LOC130649514	1.6263348558987124e-87	T
0	LOC130656721	4.856989861078765e-87	T
0	LOC130654960	6.677240127542183e-87	T
0	LOC130657369	6.8704314461678885e-87	T
0	LOC130662420	6.871646353528725e-87	T
0	LOC130612032	7.5574748950948e-87	T
0	LOC130646907	1.1661502741214315e-86	T
0	LOC130649565	1.3052267132609964e-86	T
0	LOC130612694	1.680882589526828e-86	T
0	LOC130653944	2.1164754112888706e-86	T
0	LOC130645327	2.2871479904881044e-86	T
0	LOC130635859	2.3458835004195745e-86	T
0	LOC130641506	4.562519664359347e-86	T
0	LOC130644549	1.3495653434036136e-85	T
0	LOC130648770	2.2096064811142962e-85	T
0	LOC130621142	2.692771965719678e-85	T
0	LOC130623827	1.0181365244100038e-84	T
0	LOC130641675	1.1511651058858143e-84	T
0	LOC130628544	2.398469919332338e-84	T
0	LOC130641925	3.735714462133595e-84	T
0	LOC130625412	5.881570156603695e-84	T
0	LOC130630302	7.8749665861728055e-84	T
0	LOC130646772	7.975001055512706e-84	T
0	LOC130654706	9.890660288960778e-84	T
0	LOC130654726	1.2899797680918426e-83	T
0	LOC130648814	1.47889172660478e-83	T
0	LOC130623895	2.404099542274278e-83	T
0	LOC130630360	2.626711556039319e-83	T
0	LOC130636387	2.9113204015756057e-83	T
0	LOC130662654	3.2817160853965183e-83	T
0	LOC130623482	5.3377666245034326e-83	T
0	LOC130621433	7.731375964679985e-83	T
0	LOC130641975	1.0015632012359725e-82	T
0	LOC130657464	1.1811628369603215e-82	T
0	LOC130657306	2.067494936881102e-82	T
0	LOC130656085	3.2308723058550006e-82	T
0	LOC130662713	4.4862450842399316e-82	T
0	LOC130647011	4.680864783003654e-82	T
0	LOC130624309	7.125427847937504e-82	T
0	LOC130662301	1.24506595054969e-81	T
0	LOC130642759	1.4845105504845992e-81	T
0	LOC130630370	2.038004450355089e-81	T
0	LOC130622999	5.365310129225756e-81	T
0	LOC130646972	6.359575457339504e-81	T
0	LOC130641465	1.413207460430211e-80	T
0	LOC130636754	1.963906104942056e-80	T
0	LOC130662782	2.367865981903829e-80	T
0	LOC130626042	2.4215780268971704e-80	T
0	LOC130641003	3.1440317200254642e-80	T
0	LOC130639468	4.4900472147135585e-80	T
0	LOC130655281	7.048634727122678e-80	T
0	LOC130655506	1.4052884182352652e-79	T
0	LOC130628932	1.4683909788975713e-79	T
0	LOC130654103	1.9662888695697427e-79	T
0	LOC130623714	2.609959110237863e-79	T
0	LOC130636487	3.0929737573771225e-79	T
0	LOC130644753	4.2282728270916606e-79	T
0	LOC130625900	7.141455900594363e-79	T
0	LOC130612846	7.389125425238565e-79	T
0	LOC130656376	9.057705526324433e-79	T
0	LOC130655254	1.280693090895196e-78	T
0	LOC130625776	1.485881814784422e-78	T
0	LOC130654676	2.5446288924446074e-78	T
0	LOC130647654	3.059204595875458e-78	T
0	LOC130629471	1.0430274354256819e-77	T
0	LOC130656080	1.2611949438967142e-77	T
0	LOC130629312	1.6618777457957741e-77	T
0	LOC130657680	1.6676498344116426e-77	T
0	LOC130647833	1.8986146324603786e-77	T
0	MITO_LOC130622175	2.6384388591041207e-77	T
0	LOC130622912	2.7578576919497553e-77	T
0	LOC130648797	3.1584668824852958e-77	T
0	LOC130642137	3.924701559465474e-77	T
0	LOC130630385	4.102210551998707e-77	T
0	LOC130635871	4.251170196214775e-77	T
0	LOC130629272	6.967732399382724e-77	T
0	LOC130622984	8.986347651829405e-77	T
0	LOC130612709	9.445123520476899e-77	T
0	LOC130648836	1.0468621479005422e-76	T
0	LOC130614897	2.0013334137438894e-76	T
0	LOC130630414	2.8793157643548333e-76	T
0	LOC130647489	3.326275196111767e-76	T
0	LOC130656317	3.729811265344436e-76	T
0	LOC130622127	4.0943552775494894e-76	T
0	LOC130630449	6.050283661703105e-76	T
0	LOC130644582	6.617960639664165e-76	T
